caseid,policy_gun,policy_cappun,policy_pot,policy_prostitute,policy_healthcare,policy_taxcut,policy_affect,policy_nuke,policy_warming,policy_draft,pk_house,pk_senate,pk_ag,pk_senleader,pk_justice,pk_override,pk_nominate,pk_term,pk_conservparty,birthyr,gender,pid7,pid3_t,pid3,race,race_other,educ,marstat,employ,employ_t,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,religpew_t,religpew_protestant,ideo5,newsint,faminc,votereg,inputstate
152314987,6,5,4,6,6,6,4,4,6,4,2,1,1,2,5,2,1,4,2,1950,1,6,__NA__,2,1,__NA__,5,1,2,__NA__,2,2,5,6,1,__NA__,90,3,1,12,1,53
152319091,1,2,6,6,6,6,6,4,6,6,2,1,4,2,5,2,1,4,2,1980,1,7,__NA__,2,1,__NA__,5,6,1,__NA__,2,4,6,7,9,__NA__,99,1,1,12,1,53
152372837,6,6,6,1,1,3,6,6,6,1,1,2,2,2,4,2,1,2,2,1962,2,7,__NA__,2,1,__NA__,2,1,1,__NA__,1,1,2,1,1,__NA__,1,3,2,8,1,51
152385295,5,3,4,3,3,4,4,5,2,3,1,1,1,1,2,2,3,3,2,1970,2,7,__NA__,2,1,__NA__,2,5,6,__NA__,1,1,6,5,1,__NA__,1,6,2,3,1,39
152409468,2,4,1,1,3,5,2,3,5,1,2,2,4,2,8,2,1,4,2,1981,1,6,__NA__,2,1,__NA__,6,5,1,__NA__,1,1,2,1,1,__NA__,3,4,2,8,1,39
152484505,4,4,1,1,5,6,4,4,5,2,2,2,5,1,4,2,1,3,2,1991,2,6,__NA__,2,1,__NA__,3,5,8,__NA__,1,1,1,1,1,__NA__,3,3,2,4,1,24
152517653,1,6,2,1,6,6,3,5,6,1,3,1,5,4,5,1,3,4,3,1943,2,7,__NA__,2,1,__NA__,1,4,5,__NA__,1,1,1,1,1,__NA__,1,6,4,2,1,54
152543880,4,4,1,1,2,4,3,2,4,2,2,2,4,2,1,2,2,2,2,1938,2,6,__NA__,2,1,__NA__,2,1,5,__NA__,1,1,1,1,1,__NA__,6,4,2,2,1,21
152551308,4,3,4,3,4,4,3,3,5,3,1,1,4,2,1,3,2,1,2,1953,2,6,__NA__,2,1,__NA__,2,1,6,__NA__,1,1,5,1,1,__NA__,1,3,2,9,1,26
152558422,5,4,6,1,3,5,4,4,5,1,3,2,2,4,5,2,1,2,1,1974,2,6,__NA__,2,1,__NA__,6,1,1,__NA__,2,1,2,3,1,__NA__,2,3,4,10,1,24
152599262,1,1,1,1,1,1,1,1,1,1,2,1,8,8,8,1,1,4,2,1942,2,7,__NA__,2,1,__NA__,2,1,5,__NA__,1,1,4,1,1,__NA__,3,5,3,5,1,18
152937776,4,1,4,1,4,1,3,4,5,2,1,1,4,2,5,1,3,2,2,1987,2,7,__NA__,2,1,__NA__,4,5,1,__NA__,1,1,2,1,1,__NA__,1,4,3,4,1,37
153235358,5,4,1,6,5,6,6,6,4,8,1,1,2,2,1,3,1,4,3,1935,1,7,__NA__,2,1,__NA__,4,1,5, ,1,1,1,2,1, ,6,4,1,3,1,20
153279617,6,6,2,5,6,6,4,4,4,4,2,1,4,2,5,2,1,4,2,1937,1,6,__NA__,2,1,__NA__,3,4,5,__NA__,2,4,6,7,9,__NA__,99,2,1,6,1,12
153301880,3,4,4,1,3,5,3,3,3,3,2,2,1,2,1,2,2,2,2,1958,2,6,__NA__,2,1,__NA__,2,3,2,__NA__,2,1,2,2,3,__NA__,99,4,2,3,1,49
153445064,6,6,4,1,6,6,6,3,6,6,2,2,4,2,5,1,1,4,1,1957,2,7,__NA__,2,3,__NA__,2,6,7,__NA__,2,4,6,2,2,__NA__,99,3,1,2,1,34
153465310,5,4,1,2,6,3,6,6,2,3,3,2,4,1,2,2,3,2,1,1975,2,7,__NA__,2,2,__NA__,2,3,7,__NA__,1,1,1,1,1,baptist,1,4,2,2,1,12
150909458,4,4,2,2,3,4,3,4,4,3,1,2,5,1,2,3,3,2,3,1960,2,2,__NA__,1,1,__NA__,2,1,1,__NA__,2,1,4,1,1,__NA__,2,3,4,4,1,31
151838051,6,1,4,2,6,6,4,2,6,2,2,1,4,2,8,2,1,1,2,1949,2,1,__NA__,1,1,__NA__,3,3,1, ,2,2,5,2,1,__NA__,7,3,1,4,1,12
151904870,4,2,5,4,6,6,6,2,6,1,2,1,4,2,5,2,1,4,2,1956,2,1,__NA__,1,1,__NA__,5,1,1,__NA__,2,2,5,1,11,__NA__,99,2,1,9,1,19
151937356,6,4,5,3,3,4,4,3,6,1,2,1,1,2,4,2,3,2,1,1949,2,2,__NA__,1,1,__NA__,2,4,2,__NA__,2,2,3,6,1,__NA__,7,2,2,3,1,36
151989119,6,4,2,5,6,6,6,5,5,1,2,1,4,2,5,2,1,4,2,1943,1,1,__NA__,1,2,__NA__,6,1,5,__NA__,2,1,2,4,11,__NA__,3,3,1,13,1,26
152006476,4,2,6,1,6,6,4,5,6,4,2,1,4,2,5,2,1,4,3,1956,1,1,__NA__,1,1,__NA__,3,1,6,__NA__,2,3,6,4,2,__NA__,99,3,1,8,1,55
152032403,5,1,5,5,6,5,4,2,5,1,2,1,4,2,5,2,1,2,2,1955,1,1,__NA__,1,1,__NA__,5,1,1,__NA__,2,3,5,2,2,__NA__,99,2,1,9,1,39
152043791,5,2,6,4,6,6,3,3,6,3,1,2,4,2,5,2,1,2,1,1945,1,1,__NA__,1,1,__NA__,2,1,5,__NA__,2,2,4,2,12,__NA__,99,2,1,3,1,23
152049389,6,6,5,1,6,6,2,4,6,3,2,1,4,2,4,2,1,4,2,1982,1,1,__NA__,1,1,__NA__,6,1,1,__NA__,2,3,5,5,1,__NA__,7,2,1,8,1,48
152062271,1,3,4,3,5,5,6,2,5,2,2,1,2,2,5,2,1,2,2,1965,2,1,__NA__,1,3,__NA__,5,5,1,__NA__,2,2,4,2,2,__NA__,99,2,1,8,1,26
152095012,3,6,6,6,6,6,6,6,5,1,2,2,8,2,8,2,1,4,3,1974,1,2,__NA__,1,3,__NA__,5,1,1,__NA__,2,2,3,2,2,__NA__,99,3,2,6,1,42
152098945,6,1,6,6,6,6,6,2,6,1,2,2,4,2,5,2,1,4,2,1983,2,1,__NA__,1,1,__NA__,5,6,8,__NA__,2,2,3,5,1,__NA__,3,1,1,5,1,47
152100020,6,4,4,1,6,8,3,4,6,1,3,1,5,2,2,2,1,2,2,1937,2,2,__NA__,1,1,__NA__,3,1,5,__NA__,2,3,5,6,1,__NA__,4,2,2,4,1,53
